# Time (s),Altitude (m),Vertical velocity (m/s),Vertical acceleration (m/s²),Total acceleration (m/s²),Roll rate (°/s),Pitch rate (°/s),Yaw rate (°/s),Air pressure (mbar)
0.01,-4.38e-4,-0.09,-8.76,8.76,0,0,0,1012.27
0.02,-3.33e-4,-0.07,-6.67,6.67,0,0,0,1012.27
0.03,-2.29e-4,-0.05,-4.57,4.57,0,0,0,1012.27
0.04,-1.24e-4,-0.02,-2.48,2.48,0,0,0,1012.27
0.05,2.7e-5,0.01,0.54,0.54,0,0,0,1012.27
0.06,3.06e-4,0.05,4.49,4.49,0,0,0,1012.27
0.07,0,0.13,8.45,8.45,0,0,0,1012.27
0.08,0,0.26,12.4,12.4,0,0,0,1012.27
0.09,0.01,0.42,16.36,16.36,0,0,0,1012.27
0.1,0.01,0.63,20.32,20.32,0,0,0,1012.27
0.11,0.02,0.87,24.28,24.28,0,0,0,1012.27
0.12,0.03,1.15,28.43,28.43,0,0,0,1012.26
0.13,0.04,1.5,34.31,34.31,0,0,0,1012.26
0.14,0.06,1.9,40.61,40.61,0,0,0,1012.26
0.15,0.08,2.37,46.91,46.91,0,0,0,1012.26
0.16,0.11,2.9,53.22,53.22,0,0,0,1012.26
0.17,0.14,3.5,59.54,59.54,0,0,0,1012.25
0.18,0.18,4.16,65.86,65.86,0,0,0,1012.25
0.19,0.22,4.88,72.18,72.18,0,0,0,1012.24
0.2,0.28,5.66,78.51,78.51,0,0,0,1012.24
0.21,0.34,6.51,84.84,84.84,0,0,0,1012.23
0.22,0.41,7.39,88.4,88.4,0,0,0,1012.22
0.23,0.48,8.23,83.88,83.88,0,0,0,1012.21
0.24,0.57,9.02,78.85,78.85,0,0,0,1012.2
0.25,0.66,9.76,73.81,73.81,0,0,0,1012.19
0.26,0.77,10.45,68.76,68.76,0,0,0,1012.18
0.27,0.87,11.08,63.7,63.7,0,0,0,1012.17
0.28,0.99,11.67,58.65,58.65,0,0,0,1012.15
0.29,1.1,12.17,53.87,53.87,0,0,0,1012.14
0.3,1.21,12.63,50.66,50.66,0,0,0,1012.13
0.31,1.39,13.27,47.22,47.74,0,-3.11,3.15e-4,1012.11
0.33,1.65,14.08,42.23,42.84,4.39e-7,-6.6,4.67e-5,1012.08
0.36,2.02,15.05,37.18,37.9,-1.47e-6,-9.73,3.33e-4,1012.03
0.4,2.63,16.3,32.24,33.1,-5.65e-6,-10.68,8.16e-4,1011.96
0.45,3.48,17.75,28.9,30.08,-2.81e-6,-6.93,-5.94e-4,1011.86
0.48,4.15,18.75,27.34,28.53,-1.47e-6,-0.79,-4.48e-4,1011.79
0.5,4.46,19.19,26.59,27.75,-4.07e-7,3.83,-0,1011.75
0.51,4.71,19.53,26.33,27.51,-8.22e-7,8.04,-0,1011.72
