Time (s);Timestamp;Pressure (hPa);Temperature (°C);Altitude (m);Accel_X (m/s²);Accel_Y (m/s²);Accel_Z (m/s²);Gyro_X (°/s);Gyro_Y (°/s);Gyro_Z (°/s);Mag_X (µT);Mag_Y (µT);Mag_Z (µT);GPS_Latitude;GPS_Longitude;GPS_Altitude (m)
0.0;2025-05-04 11:22:45;991.9279017505593;40.11663578063484;0.017844380433121865;10.788272680664061;0.4070142822265625;0.12689268798828124;-0.011990811984732825;0.002931087374045802;0.0013323124427480919;-46.199999999999996;-12.75;-55.8;0.0;0.0;0.0
0.13;2025-05-04 11:22:45;991.9171355177161;40.119432824803155;0.10940535487314551;10.08677159423828;0.22266075439453123;1.4053963745117186;0.0026646248854961837;0.0021316999083969466;0.031709036137404584;-45.9;-10.95;-54.6;0.0;0.0;0.0
0.26;2025-05-04 11:22:45;991.6241955347231;40.119432824803155;2.6010099914934024;37.05505909423828;0.9145850341796874;0.009576806640625;-0.003730474839694657;0.009326187099236643;0.07061255946564887;-42.15;-15.149999999999999;-54.9;0.0;0.0;0.0
0.39;2025-05-04 11:22:45;990.8390348747366;40.13201952356053;9.282144359979556;59.095499243164056;-2.3319524169921872;0.7589619262695312;0.2909770374961832;0.1713353801374046;0.2600673888244275;-44.4;-17.849999999999998;-52.35;0.0;0.0;0.0
0.53;2025-05-04 11:22:46;990.8388598978518;40.13090070589321;9.283633761073814;42.882545935058594;1.5011644409179687;-0.277727392578125;0.670952546167939;-0.02558039890076336;0.3477335475572519;-43.949999999999996;-21.15;-51.449999999999996;0.0;0.0;0.0
0.66;2025-05-04 11:22:46;990.1084132576568;40.122509573388285;15.503043546418947;36.33201019287109;2.789244934082031;0.4836287353515625;0.34480246018320615;0.1324318568091603;0.1700030676946565;-43.5;-25.5;-49.949999999999996;0.0;0.0;0.0
0.79;2025-05-04 11:22:46;990.4982746147456;40.122509573388285;12.183095241469571;33.47812181396484;2.0278888061523435;0.3591302490234375;0.5465145640152672;0.21290352835114507;-0.4268729066564886;-44.1;-25.65;-49.05;0.0;0.0;0.0
0.92;2025-05-04 11:22:46;990.501817234245;40.14516563115157;12.152932153892648;33.47572761230469;-0.928950244140625;0.17956512451171874;0.5784900626412214;0.18679020447328246;-0.5126738279694657;-45.15;-21.75;-47.699999999999996;0.0;0.0;0.0
1.05;2025-05-04 11:22:46;989.7869289068353;40.13761361189715;18.241509128252538;31.617827124023435;-0.29927520751953124;-0.12689268798828124;1.1404594509923667;0.017852986732824427;0.16307504299236644;-46.5;-23.55;-43.5;0.0;0.0;0.0
1.18;2025-05-04 11:22:46;989.1341635419395;40.13761361189715;23.8041066913566;31.012094104003904;1.1156979736328125;-0.02633621826171875;0.9323522474351146;0.4897580539541985;0.21556815323664125;-45.75;-27.0;-40.199999999999996;0.0;0.0;0.0
